Date,Brand,Item Category,Item Group,Sub Item Group,Thickness,Size,Item Name,AX Code,QTY/Box,QTY/M2,QTY/Sh,Price/M2,Price/Sh,Price/Box,SO. No.,Invoice No.,Customer Name,Value Without Vat,Vat 14%,Total Value,Shipment No.,Shipment Code,Ex. Rate,Price/M2 +14%,Current Stock,Cost Per M2,Total Cost,Margin,Cost per Box,Value per Box,Box + VAT,Customer Segment,Lead Time,Arrival Date,Shipment Lead Time
16-Nov-22,Fuji,Plate,Solvent,Digital,1.14,1270 x 2032 mm,Flexo Solvent Digital Plate 1.14 / 1270 x 2032 mm,FC2003731,10,309.7,120,"EGP 1,600 ","EGP 4,129 ","EGP 49,548 ",,FLX.2022.M.INV.00006,Unidots,"EGP 495,483 ","EGP 69,368 ","EGP 564,850 ",2022/385,2022-P01,25,"EGP 1,824 ",0,"EGP 1,339 ","EGP 414,664 ",16.30%,"EGP 41,466 ","EGP 49,548 ","EGP 56,485 ",Repro House,53,10-Nov-22,6
24-Nov-22,Fuji,Plate,Solvent,Digital,1.14,900 x 1200 mm,Flexo Solvent Digital Plate 1.14 / 900 x 1200 mm,FC2003728,10,129.6,120,"EGP 1,650 ","EGP 1,782 ","EGP 21,384 ",,FLX.2022.M.INV.00013,Pacman CCL,"EGP 213,840 ","EGP 29,938 ","EGP 243,778 ",2022/385,2022-P01,25,"EGP 1,881 ",0,"EGP 1,072 ","EGP 138,892 ",35.00%,"EGP 13,889 ","EGP 21,384 ","EGP 24,378 ",Label,25,10-Nov-22,14
21-Nov-22,Fuji,Plate,Solvent,Digital,1.14,1067 x 1524 mm,Flexo Solvent Digital Plate 1.14 / 1067 x 1524 mm,FC2003730,2,39.03,24,"EGP 1,700 ","EGP 2,764 ","EGP 33,173 ",,FLX.2022.M.INV.00002,Universal Misr,"EGP 66,345 ","EGP 9,288 ","EGP 75,634 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 52,257 ",21.20%,"EGP 26,129 ","EGP 33,173 ","EGP 37,817 ",Repro House,0,10-Nov-22,11
21-Nov-22,Fuji,Plate,Solvent,Digital,1.7,1270 x 2032 mm,Flexo Solvent Digital Plate 1.7 / 1270 x 2032 mm,FC2003732,1,25.81,10,"EGP 1,700 ","EGP 4,387 ","EGP 43,871 ",,FLX.2022.M.INV.00003,Al Taraki,"EGP 43,871 ","EGP 6,142 ","EGP 50,013 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 34,555 ",21.20%,"EGP 34,555 ","EGP 43,871 ","EGP 50,013 ",Repro House,1,10-Nov-22,11
22-Nov-22,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,1,23.2,9,"EGP 1,650 ","EGP 4,258 ","EGP 38,323 ",,FLX.2022.M.INV.00004,Smart Four Flexo,"EGP 38,323 ","EGP 5,365 ","EGP 43,688 ",2022/385,2022-P01,25,"EGP 1,881 ",0,"EGP 1,339 ","EGP 31,100 ",18.80%,"EGP 31,100 ","EGP 38,323 ","EGP 43,688 ",Repro House,0,10-Nov-22,12
23-Nov-22,Fuji,Plate,Solvent,Digital,1.14,1067 x 1524 mm,Flexo Solvent Digital Plate 1.14 / 1067 x 1524 mm,FC2003730,2,39,24,"EGP 1,700 ","EGP 2,764 ","EGP 33,173 ",,FLX.2022.M.INV.00005,Universal Misr,"EGP 66,345 ","EGP 9,288 ","EGP 75,634 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 52,257 ",21.20%,"EGP 26,129 ","EGP 33,173 ","EGP 37,817 ",Repro House,0,10-Nov-22,13
24-Nov-22,Fuji,Plate,Solvent,Analog,2.54,1067 x 1524 mm,Flexo Solvent Analog Plate 2.54 / 1067 x 1524 mm,FC2003734,5,73.2,45,"EGP 1,332 ","EGP 2,166 ","EGP 19,494 ",,FLX.2022.M.INV.00008,Flexo 24,"EGP 97,469 ","EGP 13,646 ","EGP 111,115 ",2022/386,2022-P01,25,"EGP 1,518 ",0,"EGP 1,298 ","EGP 94,999 ",2.50%,"EGP 19,000 ","EGP 19,494 ","EGP 22,223 ",Repro House,0,10-Nov-22,14
24-Nov-22,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,13,126.8,78,"EGP 1,469 ","EGP 2,389 ","EGP 14,333 ",,FLX.2022.M.INV.00008,Flexo 24,"EGP 186,323 ","EGP 26,085 ","EGP 212,408 ",2022/386,2022-P01,25,"EGP 1,675 ",0,"EGP 1,492 ","EGP 189,271 ",-1.60%,"EGP 14,559 ","EGP 14,333 ","EGP 16,339 ",Repro House,0,10-Nov-22,14
24-Nov-22,Fuji,Plate,Solvent,Analog,4.7,1067 x 1524 mm,Flexo Solvent Analog Plate 4.7 / 1067 x 1524 mm,FC2003736,5,40.7,25,"EGP 1,469 ","EGP 2,389 ","EGP 11,944 ",,FLX.2022.M.INV.00008,Flexo 24,"EGP 59,719 ","EGP 8,361 ","EGP 68,079 ",2022/386,2022-P01,25,"EGP 1,675 ",0,"EGP 1,492 ","EGP 60,664 ",-1.60%,"EGP 12,133 ","EGP 11,944 ","EGP 13,616 ",Repro House,0,10-Nov-22,14
24-Nov-22,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,2,19.5,12,"EGP 1,800 ","EGP 2,927 ","EGP 17,562 ",,FLX.2022.M.INV.00007,essam,"EGP 35,124 ","EGP 4,917 ","EGP 40,041 ",2022/386,2022-P01,25,"EGP 2,052 ",0,"EGP 1,492 ","EGP 29,119 ",17.10%,"EGP 14,559 ","EGP 17,562 ","EGP 20,021 ",Repro House,0,10-Nov-22,14
24-Nov-22,Fuji,Plate,Solvent,Digital,1.14,1067 x 1524 mm,Flexo Solvent Digital Plate 1.14 / 1067 x 1524 mm,FC2003730,2,39,24,"EGP 1,700 ","EGP 2,764 ","EGP 33,173 ",,FLX.2022.M.INV.00009,Al Taraki,"EGP 66,345 ","EGP 9,288 ","EGP 75,634 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 52,257 ",21.20%,"EGP 26,129 ","EGP 33,173 ","EGP 37,817 ",Repro House,25,10-Nov-22,14
27-Nov-22,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,7,68.3,42,"EGP 1,800 ","EGP 2,927 ","EGP 17,562 ",,FLX.2022.M.INV.00010,Kodak,"EGP 122,934 ","EGP 17,211 ","EGP 140,144 ",2022/386,2022-P01,25,"EGP 2,052 ",0,"EGP 1,492 ","EGP 101,915 ",17.10%,"EGP 14,559 ","EGP 17,562 ","EGP 20,021 ",Repro House,3,10-Nov-22,17
27-Nov-22,Fuji,Plate,Solvent,Analog,2.54,1067 x 1524 mm,Flexo Solvent Analog Plate 2.54 / 1067 x 1524 mm,FC2003734,1,14.6,9,"EGP 1,650 ","EGP 2,683 ","EGP 24,148 ",,FLX.2022.M.INV.00011,Sawfa,"EGP 24,148 ","EGP 3,381 ","EGP 27,528 ",2022/386,2022-P01,25,"EGP 1,881 ",0,"EGP 1,298 ","EGP 19,000 ",21.30%,"EGP 19,000 ","EGP 24,148 ","EGP 27,528 ",Repro House,0,10-Nov-22,17
1-Dec-22,Fuji,Plate,Solvent,Analog,2.54,1067 x 1524 mm,Flexo Solvent Analog Plate 2.54 / 1067 x 1524 mm,FC2003734,6,87.8,54,"EGP 1,332 ","EGP 2,166 ","EGP 19,494 ",,FLX.2022.M.INV.00016,Flexo 24,"EGP 116,963 ","EGP 16,375 ","EGP 133,337 ",2022/386,2022-P01,25,"EGP 1,518 ",0,"EGP 1,298 ","EGP 113,999 ",2.50%,"EGP 19,000 ","EGP 19,494 ","EGP 22,223 ",Repro House,20,10-Nov-22,21
1-Dec-22,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,27,263.4,162,"EGP 1,469 ","EGP 2,389 ","EGP 14,333 ",,FLX.2022.M.INV.00016,Flexo 24,"EGP 386,978 ","EGP 54,177 ","EGP 441,155 ",2022/386,2022-P01,25,"EGP 1,675 ",0,"EGP 1,492 ","EGP 393,101 ",-1.60%,"EGP 14,559 ","EGP 14,333 ","EGP 16,339 ",Repro House,20,10-Nov-22,21
1-Dec-22,Fuji,Plate,Solvent,Analog,4.7,1067 x 1524 mm,Flexo Solvent Analog Plate 4.7 / 1067 x 1524 mm,FC2003736,4,32.5,20,"EGP 1,469 ","EGP 2,389 ","EGP 11,944 ",,FLX.2022.M.INV.00016,Flexo 24,"EGP 47,775 ","EGP 6,689 ","EGP 54,464 ",2022/386,2022-P01,25,"EGP 1,675 ",0,"EGP 1,492 ","EGP 48,531 ",-1.60%,"EGP 12,133 ","EGP 11,944 ","EGP 13,616 ",Repro House,20,10-Nov-22,21
28-Nov-22,Fuji,Plate,Solvent,Digital,1.7,1270 x 2032 mm,Flexo Solvent Digital Plate 1.7 / 1270 x 2032 mm,FC2003732,2,51.6,20,"EGP 1,700 ","EGP 4,387 ","EGP 43,871 ",,FLX.2022.M.INV.00012,Universal Misr,"EGP 87,742 ","EGP 12,284 ","EGP 100,026 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 69,111 ",21.20%,"EGP 34,555 ","EGP 43,871 ","EGP 50,013 ",Repro House,0,10-Nov-22,18
30-Nov-22,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,1,23.2,9,"EGP 1,700 ","EGP 4,387 ","EGP 39,484 ",,FLX.2022.M.INV.00014,Al Taraki,"EGP 39,484 ","EGP 5,528 ","EGP 45,012 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 31,100 ",21.20%,"EGP 31,100 ","EGP 39,484 ","EGP 45,012 ",Repro House,1,10-Nov-22,20
1-Dec-22,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,1,9.8,6,"EGP 1,800 ","EGP 2,927 ","EGP 17,562 ",,FLX.2022.M.INV.00015,Sawfa,"EGP 17,562 ","EGP 2,459 ","EGP 20,021 ",2022/386,2022-P01,25,"EGP 2,052 ",0,"EGP 1,492 ","EGP 14,559 ",17.10%,"EGP 14,559 ","EGP 17,562 ","EGP 20,021 ",Repro House,1,10-Nov-22,21
11-Dec-22,Fuji,Plate,Solvent,Digital,1.7,1270 x 2032 mm,Flexo Solvent Digital Plate 1.7 / 1270 x 2032 mm,FC2003732,2,51.6,20,"EGP 1,700 ","EGP 4,387 ","EGP 43,871 ",,FLX.2022.M.INV.00020,Universal Misr,"EGP 87,742 ","EGP 12,284 ","EGP 100,026 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 69,111 ",21.20%,"EGP 34,555 ","EGP 43,871 ","EGP 50,013 ",Repro House,31,10-Nov-22,31
12-Dec-22,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,3,69.7,27,"EGP 1,700 ","EGP 4,387 ","EGP 39,484 ",,FLX.2022.M.INV.00020,Universal Misr,"EGP 118,451 ","EGP 16,583 ","EGP 135,035 ",2022/385,2022-P01,25,"EGP 1,938 ",0,"EGP 1,339 ","EGP 93,300 ",21.20%,"EGP 31,100 ","EGP 39,484 ","EGP 45,012 ",Repro House,31,10-Nov-22,32
12-Dec-22,Fuji,Plate,Solvent,Analog,2.54,1067 x 1524 mm,Flexo Solvent Analog Plate 2.54 / 1067 x 1524 mm,FC2003734,2,29.3,18,"EGP 1,650 ","EGP 2,683 ","EGP 24,148 ",,FLX.2022.M.INV.00019,Pioneers,"EGP 48,295 ","EGP 6,761 ","EGP 55,057 ",2022/386,2022-P01,25,"EGP 1,881 ",0,"EGP 1,298 ","EGP 38,000 ",21.30%,"EGP 19,000 ","EGP 24,148 ","EGP 27,528 ",Repro House,0,10-Nov-22,32
15-Dec-22,Fuji,Plate,Solvent,Analog,2.54,1067 x 1524 mm,Flexo Solvent Analog Plate 2.54 / 1067 x 1524 mm,FC2003734,2,29.3,18,"EGP 1,650 ","EGP 2,683 ","EGP 24,148 ",,FLX.2022.M.INV.00018,flx home,"EGP 48,295 ","EGP 6,761 ","EGP 55,057 ",2022/386,2022-P01,25,"EGP 1,881 ",0,"EGP 1,298 ","EGP 38,000 ",21.30%,"EGP 19,000 ","EGP 24,148 ","EGP 27,528 ",Repro House,0,10-Nov-22,35
15-Jan-23,Fuji,Plate,Solvent,Analog,4.7,1067 x 1524 mm,Flexo Solvent Analog Plate 4.7 / 1067 x 1524 mm,FC2003736,5,40.7,25,"EGP 1,950 ","EGP 3,171 ","EGP 15,855 ",FLX.2023.SO.000001,FLX.2023.M.INV.00001,Smart Four Flexo,"EGP 79,273 ","EGP 11,098 ","EGP 90,371 ",2022/386,2022-P01,25,"EGP 2,223 ",0,"EGP 1,492 ","EGP 60,664 ",23.50%,"EGP 12,133 ","EGP 15,855 ","EGP 18,074 ",Repro House,31,10-Nov-22,66
18-May-23,Fuji,Plate,Solvent,Digital,1.14,1270 x 2032 mm,Flexo Solvent Digital Plate 1.14 / 1270 x 2032 mm,FC2003731,8,247.7,96,"EGP 2,719 ","EGP 7,018 ","EGP 84,210.36 ",FLX.2023.SO.000002,FLX.2023.M.INV.00002,Unidots,"EGP 673,683 ","EGP 94,316 ","EGP 767,998 ",2023/147,2023-P01,39.44,"EGP 3,100 ",0,"EGP 1,995 ","EGP 494,136 ",26.70%,"EGP 61,767 ","EGP 84,210 ","EGP 96,000 ",Repro House,58,15-May-23,3
18-May-23,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,2,46.5,18,"EGP 2,719 ","EGP 7,018 ","EGP 63,157.77 ",FLX.2023.SO.000002,FLX.2023.M.INV.00002,Unidots,"EGP 126,316 ","EGP 17,684 ","EGP 144,000 ",2023/147,2023-P01,39.44,"EGP 3,100 ",0,"EGP 1,995 ","EGP 92,651 ",26.70%,"EGP 46,325 ","EGP 63,158 ","EGP 72,000 ",Repro House,58,15-May-23,3
21-May-23,Fuji,Plate,Solvent,Digital,1.14,1270 x 2032 mm,Flexo Solvent Digital Plate 1.14 / 1270 x 2032 mm,FC2003731,10,309.7,120,"EGP 2,807 ","EGP 7,244 ","EGP 86,927 ",FLX.2023.SO.000003,FLX.2023.M.INV.00006,ElEsraa Prepress,"EGP 869,268 ","EGP 121,698 ","EGP 990,966 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 617,670 ",28.90%,"EGP 61,767 ","EGP 86,927 ","EGP 99,097 ",Repro House,781,15-May-23,6
21-May-23,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,3,69.7,27,"EGP 2,807 ","EGP 7,244 ","EGP 65,195 ",FLX.2023.SO.000003,FLX.2023.M.INV.00006,ElEsraa Prepress,"EGP 195,585 ","EGP 27,382 ","EGP 222,967 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 138,976 ",28.90%,"EGP 46,325 ","EGP 65,195 ","EGP 74,322 ",Repro House,781,15-May-23,6
21-May-23,Fuji,Plate,Solvent,Digital,2.54,1270 x 2032 mm,Flexo Solvent Digital Plate 2.54 / 1270 x 2032 mm,FC2003733,1,23.2,9,"EGP 2,807 ","EGP 7,244 ","EGP 65,195 ",FLX.2023.SO.000003,FLX.2023.M.INV.00006,ElEsraa Prepress,"EGP 65,195 ","EGP 9,127 ","EGP 74,322 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 46,876 ",28.10%,"EGP 46,876 ","EGP 65,195 ","EGP 74,322 ",Repro House,781,15-May-23,6
